Query Name,Query Length,Query Start,Query End,Subject DB,NCBI Accession,Gene / Organism,GenBank Link,Subject Length,Subject Start,Subject End,Bit Score,Raw Score,E-value,Identities Match,Identities Total,Identity (%),Strand
E230525-016_E19_36_27F,1227,47,414,,KX963363.1,"Pseudomonas aeruginosa strain Iraq.PA-8 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/KX963363?report=genbank&log$=nuclalign&blast_rank=1&RID=0,626,26,394,320,173,3e-82,307,372,83,Plus/Plus
E230525-016_G19_37_27F,1589,10,1364,,MK956956.1,"Bacillus cereus strain BBS15 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MK956956?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1435,14,1383,2117,1146,0.0,1303,1375,95,Plus/Plus
E230525-016_I19_38_27F,1502,1,1232,,LC628031.1,"Pseudomonas aeruginosa PSE5 gene for 16S ribosomal RNA, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/LC628031?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1312,1,1251,1960,1061,0.0,1193,1253,95,Plus/Plus
E230525-016_K19_39_27F,1242,6,861,,MG938651.1,"Lactobacillus sp. strain UVAS:RY7 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MG938651?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1018,3,845,1181,639,0.0,787,857,92,Plus/Plus
E230525-016_M19_40_27F,980,6,509,,KX752827.1,"Enterococcus hirae strain SNNU0206 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/KX752827?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1460,5,512,542,293,4e-149,451,522,86,Plus/Plus
E230525-016_O19_41_27F,1564,5,1209,,MF326331.1,"Enterococcus hirae strain 1-X1-16 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MF326331?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1480,15,1216,1812,981,0.0,1135,1209,94,Plus/Plus
E230525-016_A21_43_27F,1552,7,1120,,OM281295.1,"Enterococcus faecium strain KS3 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/OM281295?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1485,15,1123,1742,943,0.0,1062,1118,95,Plus/Plus
E230525-016_C21_46_27F,1227,12,810,,MH620760.1,"Leclercia adecarboxylata strain FM16 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MH620760?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1439,2,798,1120,606,0.0,736,800,92,Plus/Plus
E230525-016_E21_48_27F,1236,2,901,,ON247933.1,"Bacillus sp. (in: Bacteria) strain M122 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/ON247933?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1452,4,897,1225,663,0.0,828,906,91,Plus/Plus
E230525-016_G21_49_27F,1285,147,536,,AB363463.1,"Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: 2-4-85",https://www.ncbi.nlm.nih.gov/nucleotide/AB363463?report=genbank&log$=nuclalign&blast_rank=1&RID=0,551,141,527,169,91,1e-36,303,402,75,Plus/Plus
E230525-016_I21_50_27F,1244,110,846,,MK480134.1,"Bacterium strain SMBR 15 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MK480134?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1016,33,769,586,317,3e-162,606,746,81,Plus/Plus
E230525-016_K21_52_27F,1438,13,1173,,KX881771.1,"Enterococcus faecium strain Unkn666 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/KX881771?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1283,10,1192,1799,974,0.0,1117,1183,94,Plus/Plus
E230525-016_M21_53_27F,1440,6,1202,,KY962890.1,"Enterococcus faecium strain Unknown23 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/KY962890?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1281,3,1205,1978,1071,0.0,1166,1209,96,Plus/Plus
E230525-016_O21_54_27F,1456,8,1226,,ON329085.1,"Enterococcus faecium strain HBUAS59914 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/ON329085?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1482,15,1236,2004,1085,0.0,1181,1226,96,Plus/Plus
E230525-016_A23_55_27F,1389,10,1264,céfuro,KU681044.1,"Bacillus subtilis strain Al-2 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/KU681044?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1310,14,1270,2137,1157,0.0,1230,1263,97,Plus/Plus
E230525-016_C23_57_27F,1450,8,1274,,KY962892.1,"Enterococcus faecium strain Unknown25 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/KY962892?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1303,6,1276,2056,1113,0.0,1227,1279,96,Plus/Plus
E230525-016_E23_58_27F,1515,6,1267,,MH935779.1,"Pseudomonas sp. strain T22 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MH935779?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1265,8,1257,1916,1037,0.0,1196,1269,94,Plus/Plus
E230525-016_G23_60_27F,1216,269,308,,LC329437.1,"Uncultured bacterium X131A_Mar15-1_H10 gene for 16S ribosomal RNA, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/LC329437?report=genbank&log$=nuclalign&blast_rank=1&RID=0,584,181,220,63.9,34,5e-05,38,40,95,Plus/Plus
E230525-016_I23_65_27F,1396,12,1192,,MT457705.1,"Enterococcus faecium strain MLG20-28 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MT457705?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1469,11,1207,1903,1030,0.0,1145,1198,96,Plus/Plus
E230525-016_K23_66_27F,1398,3,1278,,LC628031.1,"Pseudomonas aeruginosa PSE5 gene for 16S ribosomal RNA, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/LC628031?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1312,2,1285,2137,1157,0.0,1246,1287,97,Plus/Plus
E230525-016_M23_67_27F,1406,12,1208,,OK576656.1,"Pseudomonas aeruginosa strain Isolate C2 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/OK576656?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1207,1,1204,2056,1113,0.0,1177,1206,98,Plus/Plus
E230525-017_A01_68_27F,1584,1,1134,,LC628031.1,"Pseudomonas aeruginosa PSE5 gene for 16S ribosomal RNA, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/LC628031?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1312,1,1143,1775,961,0.0,1086,1145,95,Plus/Plus
